epoch,loss,dice_coefficient,binary_accuracy,precision,recall,val_loss,val_dice_coefficient,val_binary_accuracy,val_precision,val_recall,lr
1,1.173868179321289,0.16053247451782227,0.5639775991439819,0.10001136362552643,0.6115424633026123,0.9855534434318542,0.14378748834133148,0.9582731127738953,0.803428053855896,0.5759403109550476,1e-04
2,0.8340007066726685,0.22174622118473053,0.6285296082496643,0.15051931142807007,0.8655663132667542,0.863126277923584,0.18380992114543915,0.9734078645706177,0.9498951435089111,0.6755833029747009,1e-04
3,0.7025871276855469,0.25474709272384644,0.672915518283844,0.1795133799314499,0.9577191472053528,0.7668243050575256,0.229024738073349,0.9630234241485596,0.752360463142395,0.7443475127220154,1e-04
4,0.6280415654182434,0.27540236711502075,0.7133601903915405,0.20400886237621307,0.990143895149231,0.5880879759788513,0.29768189787864685,0.8100400567054749,0.26656943559646606,0.8975951075553894,1e-04
5,0.5834264755249023,0.2904652953147888,0.7524726390838623,0.22977674007415771,0.9968541860580444,0.6302588582038879,0.2770792841911316,0.6563048362731934,0.1734449863433838,0.9702679514884949,1e-04
6,0.551880955696106,0.3004193603992462,0.7881665825843811,0.2586565911769867,0.9979725480079651,0.6055978536605835,0.3126278817653656,0.7009724378585815,0.19347941875457764,0.9622101783752441,1e-04
7,0.5267529487609863,0.3103685677051544,0.8215207457542419,0.29292410612106323,0.9984461665153503,0.5770824551582336,0.3418423533439636,0.7412058115005493,0.21679848432540894,0.9584473967552185,1e-04
8,0.5046756267547607,0.3207951486110687,0.8520049452781677,0.33320531249046326,0.9985958337783813,0.5341150164604187,0.3749057650566101,0.7574185729026794,0.2288288027048111,0.9638929963111877,1e-04
9,0.4849250018596649,0.3293333947658539,0.8804375529289246,0.38217660784721375,0.9983256459236145,0.481632798910141,0.4070431590080261,0.7679318189620972,0.2370808720588684,0.9658180475234985,1e-04
10,0.4663332402706146,0.3393397331237793,0.905843198299408,0.44001585245132446,0.9986252784729004,0.39689162373542786,0.45721182227134705,0.7919985055923462,0.258120596408844,0.9691267609596252,1e-04
11,0.44950467348098755,0.34906649589538574,0.9263927340507507,0.5013555288314819,0.9986580014228821,0.31539276242256165,0.5217943787574768,0.902271568775177,0.4285280704498291,0.9689822793006897,1e-04
12,0.43658915162086487,0.3579882085323334,0.9416099190711975,0.5590956211090088,0.9982103109359741,0.24737343192100525,0.6119307279586792,0.9791272282600403,0.7946296334266663,0.967412531375885,1e-04
13,0.42474064230918884,0.3676223158836365,0.9538868069648743,0.6163346767425537,0.9984158873558044,0.23693270981311798,0.6096252202987671,0.9762967228889465,0.7632551193237305,0.9844026565551758,1e-04
14,0.412086546421051,0.3742291033267975,0.963567316532135,0.6704399585723877,0.9985650777816772,0.21516376733779907,0.6303248405456543,0.9788496494293213,0.7831065654754639,0.9869928956031799,1e-04
15,0.40195193886756897,0.38137850165367126,0.9706443548202515,0.716471791267395,0.9984569549560547,0.2145848572254181,0.629923403263092,0.980800449848175,0.8010929226875305,0.9844833016395569,1e-04
16,0.3924742639064789,0.3882063627243042,0.9758716821670532,0.7547919750213623,0.9982835650444031,0.220697820186615,0.6144047975540161,0.9827117919921875,0.8177298903465271,0.9856122732162476,1e-04
17,0.38371941447257996,0.3954080641269684,0.9797797203063965,0.786082923412323,0.998500645160675,0.22638288140296936,0.6045088768005371,0.9822748303413391,0.8111963868141174,0.9905546307563782,1e-04
18,0.37542834877967834,0.4022131860256195,0.9828798174858093,0.8129574656486511,0.9983695149421692,0.231187641620636,0.5929878950119019,0.9830297231674194,0.8155670762062073,0.995305061340332,1e-04
19,0.36824527382850647,0.4083768427371979,0.9846311807632446,0.8288908004760742,0.9984410405158997,0.2377336025238037,0.5827301740646362,0.9842786192893982,0.8274843692779541,0.994463324546814,1e-04
20,0.3619672358036041,0.4129699766635895,0.9863561391830444,0.8452754020690918,0.9983924627304077,0.2503451406955719,0.5642980337142944,0.9843651056289673,0.8282226324081421,0.9945889711380005,5e-05
